,TIMESTAMP,BUILDING,FLOOR,CONSUMPTION(kW)
128,2023-03-21 14:00:00,561,1,1.117
129,2023-03-21 15:00:00,561,1,1.0979999999999999
130,2023-03-21 16:00:00,561,1,1.224
131,2023-03-21 17:00:00,561,1,1.241
132,2023-03-21 18:00:00,561,1,1.909
133,2023-03-21 19:00:00,561,1,1.919
134,2023-03-21 20:00:00,561,1,3.715
135,2023-03-21 21:00:00,561,1,3.19
136,2023-03-21 22:00:00,561,1,2.508
137,2023-03-21 23:00:00,561,1,1.826
138,2023-03-22 00:00:00,561,1,1.6540000000000001
139,2023-03-22 01:00:00,561,1,1.597
140,2023-03-22 02:00:00,561,1,1.536
141,2023-03-22 03:00:00,561,1,1.097
142,2023-03-22 04:00:00,561,1,1.049
143,2023-03-22 05:00:00,561,1,1.298
144,2023-03-22 06:00:00,561,1,1.5219999999999998
145,2023-03-22 07:00:00,561,1,1.3399999999999999
146,2023-03-22 08:00:00,561,1,1.626
147,2023-03-22 09:00:00,561,1,1.981
148,2023-03-22 10:00:00,561,1,1.834
149,2023-03-22 11:00:00,561,1,1.798
150,2023-03-22 12:00:00,561,1,1.6929999999999998
151,2023-03-22 13:00:00,561,1,2.258
152,2023-03-22 14:00:00,561,1,1.758
153,2023-03-22 15:00:00,561,1,1.046
154,2023-03-22 16:00:00,561,1,1.471
155,2023-03-22 17:00:00,561,1,1.602
156,2023-03-22 18:00:00,561,1,1.61
157,2023-03-22 19:00:00,561,1,2.294
158,2023-03-22 20:00:00,561,1,2.573
159,2023-03-22 21:00:00,561,1,3.528
160,2023-03-22 22:00:00,561,1,2.109
161,2023-03-22 23:00:00,561,1,2.202
162,2023-03-23 00:00:00,561,1,1.7029999999999998
163,2023-03-23 01:00:00,561,1,1.763
164,2023-03-23 02:00:00,561,1,1.082
165,2023-03-23 03:00:00,561,1,0.972
166,2023-03-23 04:00:00,561,1,1.126
167,2023-03-23 05:00:00,561,1,1.35
168,2023-03-23 06:00:00,561,1,1.201
169,2023-03-23 07:00:00,561,1,1.305
170,2023-03-23 08:00:00,561,1,1.4629999999999999
171,2023-03-23 09:00:00,561,1,1.583
172,2023-03-23 10:00:00,561,1,1.144
173,2023-03-23 11:00:00,561,1,1.162
174,2023-03-23 12:00:00,561,1,1.3760000000000001
175,2023-03-23 13:00:00,561,1,1.578
176,2023-03-23 14:00:00,561,1,2.5570000000000004
177,2023-03-23 15:00:00,561,1,2.2380000000000004
178,2023-03-23 16:00:00,561,1,2.21
179,2023-03-23 17:00:00,561,1,1.7940000000000003
180,2023-03-23 18:00:00,561,1,2.923
181,2023-03-23 19:00:00,561,1,2.125
182,2023-03-23 20:00:00,561,1,3.393
183,2023-03-23 21:00:00,561,1,3.3750000000000004
184,2023-03-23 22:00:00,561,1,1.6800000000000002
185,2023-03-23 23:00:00,561,1,2.685
186,2023-03-24 00:00:00,561,1,2.0170000000000003
187,2023-03-24 01:00:00,561,1,1.8679999999999999
188,2023-03-24 02:00:00,561,1,1.67
189,2023-03-24 03:00:00,561,1,1.322
190,2023-03-24 04:00:00,561,1,1.1280000000000001
191,2023-03-24 05:00:00,561,1,0.976
192,2023-03-24 06:00:00,561,1,1.452
193,2023-03-24 07:00:00,561,1,2.339
194,2023-03-24 08:00:00,561,1,1.497
195,2023-03-24 09:00:00,561,1,2.246
196,2023-03-24 10:00:00,561,1,2.17
197,2023-03-24 11:00:00,561,1,1.89
198,2023-03-24 12:00:00,561,1,2.614
199,2023-03-24 13:00:00,561,1,2.105
200,2023-03-24 14:00:00,561,1,1.8539999999999999
201,2023-03-24 15:00:00,561,1,2.1519999999999997
202,2023-03-24 16:00:00,561,1,1.6219999999999999
203,2023-03-24 17:00:00,561,1,1.84
204,2023-03-24 18:00:00,561,1,2.363
205,2023-03-24 19:00:00,561,1,2.2649999999999997
206,2023-03-24 20:00:00,561,1,2.604
207,2023-03-24 21:00:00,561,1,2.4240000000000004
208,2023-03-24 22:00:00,561,1,2.3609999999999998
209,2023-03-24 23:00:00,561,1,2.397
210,2023-03-25 00:00:00,561,1,2.8390000000000004
211,2023-03-25 01:00:00,561,1,1.905
212,2023-03-25 02:00:00,561,1,2.1199999999999997
213,2023-03-25 03:00:00,561,1,1.738
214,2023-03-25 04:00:00,561,1,1.258
215,2023-03-25 05:00:00,561,1,1.087
216,2023-03-25 06:00:00,561,1,1.3980000000000001
217,2023-03-25 07:00:00,561,1,1.4249999999999998
218,2023-03-25 08:00:00,561,1,1.194
219,2023-03-25 09:00:00,561,1,1.2200000000000002
220,2023-03-25 10:00:00,561,1,1.6360000000000001
221,2023-03-25 11:00:00,561,1,1.428
222,2023-03-25 12:00:00,561,1,1.459
223,2023-03-25 13:00:00,561,1,1.9969999999999999
224,2023-03-25 14:00:00,561,1,1.9080000000000001
225,2023-03-25 15:00:00,561,1,1.1680000000000001
226,2023-03-25 16:00:00,561,1,1.191
227,2023-03-25 17:00:00,561,1,1.776
228,2023-03-25 18:00:00,561,1,2.143
229,2023-03-25 19:00:00,561,1,2.332
230,2023-03-25 20:00:00,561,1,2.818
231,2023-03-25 21:00:00,561,1,2.6640000000000006
232,2023-03-25 22:00:00,561,1,2.101
233,2023-03-25 23:00:00,561,1,1.9680000000000002
234,2023-03-26 00:00:00,561,1,2.912
235,2023-03-26 01:00:00,561,1,2.7330000000000005
236,2023-03-26 02:00:00,561,1,2.043
237,2023-03-26 03:00:00,561,1,1.773
238,2023-03-26 04:00:00,561,1,1.194
239,2023-03-26 05:00:00,561,1,1.115
240,2023-03-26 06:00:00,561,1,1.198
241,2023-03-26 07:00:00,561,1,1.762
242,2023-03-26 08:00:00,561,1,1.3659999999999999
243,2023-03-26 09:00:00,561,1,1.601
244,2023-03-26 10:00:00,561,1,2.1839999999999997
245,2023-03-26 11:00:00,561,1,2.233
246,2023-03-26 12:00:00,561,1,2.01
247,2023-03-26 13:00:00,561,1,2.2710000000000004
248,2023-03-26 14:00:00,561,1,2.46
249,2023-03-26 15:00:00,561,1,1.676
250,2023-03-26 16:00:00,561,1,1.616
251,2023-03-26 17:00:00,561,1,1.9789999999999999
252,2023-03-26 18:00:00,561,1,1.7800000000000002
253,2023-03-26 19:00:00,561,1,2.641
254,2023-03-26 20:00:00,561,1,2.481
255,2023-03-26 21:00:00,561,1,2.2359999999999998
256,2023-03-26 22:00:00,561,1,1.918
257,2023-03-26 23:00:00,561,1,1.8480000000000003
258,2023-03-27 00:00:00,561,1,1.572
259,2023-03-27 01:00:00,561,1,1.2690000000000001
260,2023-03-27 02:00:00,561,1,1.155
261,2023-03-27 03:00:00,561,1,1.0899999999999999
262,2023-03-27 04:00:00,561,1,1.125
263,2023-03-27 05:00:00,561,1,1.032
264,2023-03-27 06:00:00,561,1,0.9790000000000001
265,2023-03-27 07:00:00,561,1,1.222
266,2023-03-27 08:00:00,561,1,1.476
267,2023-03-27 09:00:00,561,1,1.182
268,2023-03-27 10:00:00,561,1,1.062
269,2023-03-27 11:00:00,561,1,1.248
270,2023-03-27 12:00:00,561,1,1.062
271,2023-03-27 13:00:00,561,1,1.148
272,2023-03-27 14:00:00,561,1,1.157
273,2023-03-27 15:00:00,561,1,1.191
274,2023-03-27 16:00:00,561,1,1.997
275,2023-03-27 17:00:00,561,1,1.2850000000000001
276,2023-03-27 18:00:00,561,1,1.4349999999999998
277,2023-03-27 19:00:00,561,1,1.515
278,2023-03-27 20:00:00,561,1,2.008
279,2023-03-27 21:00:00,561,1,2.394
280,2023-03-27 22:00:00,561,1,2.653
281,2023-03-27 23:00:00,561,1,2.126
282,2023-03-28 00:00:00,561,1,2.896
283,2023-03-28 01:00:00,561,1,1.509
284,2023-03-28 02:00:00,561,1,2.3419999999999996
285,2023-03-28 03:00:00,561,1,2.214
286,2023-03-28 04:00:00,561,1,1.391
287,2023-03-28 05:00:00,561,1,0.8780000000000001
288,2023-03-28 06:00:00,561,1,1.004
289,2023-03-28 07:00:00,561,1,1.138
290,2023-03-28 08:00:00,561,1,1.476
291,2023-03-28 09:00:00,561,1,2.11
292,2023-03-28 10:00:00,561,1,2.117
293,2023-03-28 11:00:00,561,1,2.4320000000000004
294,2023-03-28 12:00:00,561,1,2.213
295,2023-03-28 13:00:00,561,1,2.0469999999999997
296,2023-03-28 14:00:00,561,1,1.6
297,2023-03-28 15:00:00,561,1,0.8659999999999999
298,2023-03-28 16:00:00,561,1,1.4599999999999997
299,2023-03-28 17:00:00,561,1,1.369
300,2023-03-28 18:00:00,561,1,1.17
301,2023-03-28 19:00:00,561,1,2.154
302,2023-03-28 20:00:00,561,1,2.759
303,2023-03-28 21:00:00,561,1,2.8049999999999997
304,2023-03-28 22:00:00,561,1,3.262
305,2023-03-28 23:00:00,561,1,3.0400000000000005
306,2023-03-29 00:00:00,561,1,2.9290000000000003
307,2023-03-29 01:00:00,561,1,2.617
308,2023-03-29 02:00:00,561,1,1.7449999999999999
309,2023-03-29 03:00:00,561,1,1.42
310,2023-03-29 04:00:00,561,1,1.243
311,2023-03-29 05:00:00,561,1,1.3820000000000001
312,2023-03-29 06:00:00,561,1,1.108
313,2023-03-29 07:00:00,561,1,1.357
314,2023-03-29 08:00:00,561,1,1.653
315,2023-03-29 09:00:00,561,1,1.226
316,2023-03-29 10:00:00,561,1,1.675
317,2023-03-29 11:00:00,561,1,2.13
318,2023-03-29 12:00:00,561,1,2.357
319,2023-03-29 13:00:00,561,1,2.142
320,2023-03-29 14:00:00,561,1,1.766
321,2023-03-29 15:00:00,561,1,1.6290000000000002
322,2023-03-29 16:00:00,561,1,1.701
323,2023-03-29 17:00:00,561,1,2.484
324,2023-03-29 18:00:00,561,1,1.425
325,2023-03-29 19:00:00,561,1,3.1029999999999998
326,2023-03-29 20:00:00,561,1,3.363
327,2023-03-29 21:00:00,561,1,2.937
328,2023-03-29 22:00:00,561,1,2.886
329,2023-03-29 23:00:00,561,1,2.8949999999999996
330,2023-03-30 00:00:00,561,1,2.238
331,2023-03-30 01:00:00,561,1,1.5339999999999998
332,2023-03-30 02:00:00,561,1,1.189
333,2023-03-30 03:00:00,561,1,1.119
334,2023-03-30 04:00:00,561,1,1.1669999999999998
335,2023-03-30 05:00:00,561,1,1.33
336,2023-03-30 06:00:00,561,1,1.118
